"pclass","sex","age","sibsp","parch","fare","cabin","embarked","survived"
"1","f",58,0,0,146,"B","Cherb","surv"
"1","f",15,0,1,211,"B","South","surv"
"1","m",30,0,0,26,"C","South","died"
"1","f",16,0,0,86,"B","South","surv"
"1","m",35,0,0,29,"C","Cherb","surv"
"1","m",19,1,0,53,"D","South","died"
"1","f",18,1,0,53,"D","South","surv"
"1","f",24,0,0,49,"C","Cherb","surv"
"1","m",46,0,0,75,"C","Cherb","died"
"1","m",54,0,0,51,"E","South","died"
"1","m",36,0,0,26,"E","South","surv"
"1","m",28,1,0,82,"X","Cherb","died"
"1","f",53,1,0,82,"X","Cherb","surv"
"1","m",65,0,0,26,"E","South","died"
"1","m",44,2,0,90,"C","Queens","died"
"1","f",33,1,0,90,"C","Queens","surv"
"1","f",37,1,0,90,"C","Queens","surv"
"1","m",30,1,0,57,"C","Cherb","surv"
"1","m",55,0,0,30,"C","South","died"
"1","m",47,0,0,42,"X","South","died"
"1","m",37,0,1,29,"C","Cherb","died"
"1","f",31,1,0,113,"D","Cherb","surv"
"1","f",23,1,0,113,"D","Cherb","surv"
"1","m",58,0,2,113,"D","Cherb","died"
"1","f",19,0,2,26,"D","South","surv"
"1","m",64,0,0,26,"X","South","died"
"1","f",39,0,0,108,"C","Cherb","surv"
"1","m",44,0,0,25,"X","Cherb","surv"
"1","f",22,0,1,61,"B","Cherb","surv"
"1","m",65,0,1,61,"B","Cherb","died"
"1","m",28,0,0,27,"D","Cherb","died"
"1","m",33,0,0,0,"X","South","died"
"1","m",45,0,0,28,"C","South","died"
"1","m",23,0,0,93,"B","South","died"
"1","m",29,1,0,66,"C","South","died"
"1","f",22,1,0,66,"C","South","surv"
"1","m",18,1,0,108,"C","Cherb","died"
"1","f",17,1,0,108,"C","Cherb","surv"
"1","f",30,0,0,93,"B","South","surv"
"1","m",52,0,0,30,"C","South","surv"
"1","m",47,0,0,52,"C","South","died"
"1","f",56,0,1,83,"C","Cherb","surv"
"1","m",38,0,0,0,"X","South","died"
"1","m",26,0,0,39,"X","South","surv"
"1","m",22,0,0,135,"X","Cherb","died"
"1","m",19,0,0,227,"X","Cherb","died"
"1","f",43,0,1,211,"B","South","surv"
"1","m",31,0,0,50,"A","South","died"
"1","m",45,0,0,26,"X","South","surv"
"1","m",36,0,0,50,"A","South","died"
"1","f",33,0,0,27,"A","Cherb","surv"
"1","m",46,0,0,79,"X","Cherb","died"
"1","m",36,0,0,40,"A","Cherb","died"
"1","f",33,0,0,86,"B","South","surv"
"1","m",55,1,0,59,"X","Cherb","died"
"1","f",54,1,0,59,"X","Cherb","surv"
"1","m",33,0,0,26,"X","South","died"
"1","m",13,2,2,262,"B","Cherb","surv"
"1","f",18,2,2,262,"B","Cherb","surv"
"1","f",21,2,2,262,"B","Cherb","surv"
"1","m",61,1,3,262,"B","Cherb","died"
"1","f",48,1,3,262,"B","Cherb","surv"
"1","m",33,0,0,30,"C","South","surv"
"1","f",24,0,0,69,"B","Cherb","surv"
"1","m",61,0,0,26,"X","South","surv"
"1","f",35,1,0,57,"C","Cherb","surv"
"1","f",30,0,0,31,"X","Cherb","surv"
"1","m",34,0,0,26,"X","South","surv"
"1","f",40,0,0,153,"C","South","surv"
"1","m",35,0,0,26,"E","South","surv"
"1","m",50,1,0,55,"E","South","died"
"1","f",39,1,0,55,"E","South","surv"
"1","m",56,0,0,35,"A","Cherb","surv"
"1","m",28,0,0,35,"A","South","surv"
"1","m",56,0,0,26,"X","South","died"
"1","m",56,0,0,30,"A","Cherb","died"
"1","m",24,1,0,60,"C","South","died"
"1","m",71,0,0,26,"A","South","died"
"1","f",18,1,0,60,"C","South","surv"
"1","m",24,1,0,82,"B","South","surv"
"1","f",23,1,0,82,"B","South","surv"
"1","m",6,0,2,134,"E","Cherb","surv"
"1","m",45,1,1,134,"E","Cherb","surv"
"1","f",40,1,1,134,"E","Cherb","surv"
"1","m",57,1,0,146,"B","Cherb","died"
"1","f",39,1,0,146,"B","Cherb","surv"
"1","m",32,0,0,30,"B","Cherb","surv"
"1","m",62,0,0,26,"C","South","died"
"1","m",54,1,0,55,"C","Cherb","surv"
"1","f",43,1,0,55,"C","Cherb","surv"
"1","f",52,1,0,78,"D","Cherb","surv"
"1","m",64,0,0,27,"X","Cherb","died"
"1","f",62,0,0,80,"B","Unknown","surv"
"1","m",67,1,0,221,"C","South","died"
"1","f",63,1,0,221,"C","South","died"
"1","m",61,0,0,32,"D","South","died"
"1","f",48,0,0,25,"D","South","surv"
"1","f",18,0,2,79,"E","South","surv"
"1","m",52,1,1,79,"E","South","died"
"1","f",39,1,1,79,"E","South","surv"
"1","m",48,1,0,52,"C","South","surv"
"1","f",45,1,0,52,"C","South","surv"
"1","m",49,1,1,110,"C","Cherb","died"
"1","m",17,0,2,110,"C","Cherb","surv"
"1","f",39,1,1,110,"C","Cherb","surv"
"1","f",31,0,0,79,"X","Cherb","surv"
"1","m",31,0,0,28,"C","Cherb","surv"
"1","m",40,0,0,27,"X","Cherb","died"
"1","m",61,0,0,33,"B","South","died"
"1","m",47,0,0,34,"D","South","died"
"1","f",35,0,0,512,"X","Cherb","surv"
"1","m",64,1,0,75,"D","Cherb","died"
"1","f",60,1,0,75,"D","Cherb","surv"
"1","m",60,0,0,26,"X","South","died"
"1","m",54,0,1,77,"D","South","died"
"1","m",21,0,1,77,"D","South","died"
"1","f",55,0,0,135,"C","Cherb","surv"
"1","f",31,0,2,164,"C","South","surv"
"1","m",57,1,1,164,"X","South","died"
"1","f",45,1,1,164,"X","South","surv"
"1","m",50,1,1,211,"C","Cherb","died"
"1","m",27,0,2,211,"C","Cherb","died"
"1","f",50,1,1,211,"C","Cherb","surv"
"1","f",21,0,0,26,"X","South","surv"
"1","m",51,0,1,61,"X","Cherb","died"
"1","m",21,0,1,61,"X","Cherb","surv"
"1","m",16,0,0,35,"C","South","died"
"1","f",31,0,0,134,"E","Cherb","surv"
"1","m",33,0,0,35,"C","South","surv"
"1","m",62,0,0,26,"X","South","died"
"1","f",36,0,0,135,"C","Cherb","surv"
"2","m",30,1,0,24,"X","Cherb","died"
"2","f",28,1,0,24,"X","Cherb","surv"
"2","m",30,0,0,13,"X","South","died"
"2","m",18,0,0,11,"X","South","died"
"2","m",25,0,0,10,"X","South","died"
"2","m",34,1,0,26,"X","South","died"
"2","f",36,1,0,26,"X","South","surv"
"2","m",57,0,0,13,"X","South","died"
"2","m",18,0,0,11,"X","South","died"
"2","m",23,0,0,10,"X","South","died"
"2","f",36,0,0,13,"D","South","surv"
"2","m",28,0,0,10,"X","South","died"
"2","m",51,0,0,12,"X","South","died"
"2","m",32,1,0,26,"X","South","surv"
"2","f",19,1,0,26,"X","South","surv"
"2","m",28,0,0,26,"X","South","died"
"2","m",1,2,1,39,"F","South","surv"
"2","f",4,2,1,39,"F","South","surv"
"2","f",12,2,1,39,"F","South","surv"
"2","f",36,0,3,39,"F","South","surv"
"2","m",34,0,0,13,"D","South","surv"
"2","f",19,0,0,13,"X","South","surv"
"2","m",23,0,0,13,"X","South","died"
"2","m",26,0,0,13,"X","South","died"
"2","m",42,0,0,13,"X","South","died"
"2","m",27,0,0,13,"X","South","died"
"2","f",24,0,0,13,"F","South","surv"
"2","f",15,0,2,39,"X","South","surv"
"2","m",60,1,1,39,"X","South","died"
"2","f",40,1,1,39,"X","South","surv"
"2","f",20,1,0,26,"X","South","surv"
"2","m",25,1,0,26,"X","South","died"
"2","f",36,0,0,13,"X","South","surv"
"2","m",25,0,0,13,"X","South","died"
"2","m",42,0,0,13,"X","South","died"
"2","f",42,0,0,13,"X","South","surv"
"2","m",0,0,2,29,"X","South","surv"
"2","m",26,1,1,29,"X","South","surv"
"2","f",22,1,1,29,"X","South","surv"
"2","f",35,0,0,21,"X","South","surv"
"2","m",43,0,0,0,"X","South","died"
"2","m",19,0,0,13,"X","South","died"
"2","f",44,1,0,26,"X","South","died"
"2","m",54,1,0,26,"X","South","died"
"2","m",52,0,0,13,"X","South","died"
"2","m",37,1,0,26,"X","South","died"
"2","f",29,1,0,26,"X","South","died"
"2","f",25,1,1,30,"X","South","surv"
"2","f",45,0,2,30,"X","South","surv"
"2","m",29,1,0,26,"X","South","died"
"2","f",28,1,0,26,"X","South","surv"
"2","m",29,0,0,10,"X","South","died"
"2","m",28,0,0,13,"X","South","died"
"2","m",24,0,0,10,"X","South","surv"
"2","f",8,0,2,26,"X","South","surv"
"2","m",31,1,1,26,"X","South","died"
"2","f",31,1,1,26,"X","South","surv"
"2","f",22,0,0,10,"F","South","surv"
"2","f",30,0,0,13,"X","South","died"
"2","f",13,0,0,21,"X","South","died"
"2","m",21,0,0,11,"X","South","died"
"2","m",36,0,0,0,"X","South","died"
"2","m",8,1,1,36,"X","South","surv"
"2","m",18,0,0,73,"X","South","died"
"2","f",48,0,2,36,"X","South","surv"
"2","f",28,0,0,13,"X","South","surv"
"2","m",32,0,0,13,"X","South","died"
"2","m",17,0,0,73,"X","South","died"
"2","m",29,1,0,27,"X","Cherb","died"
"2","f",24,1,0,27,"X","Cherb","surv"
"2","m",25,0,0,31,"X","South","died"
"2","m",18,0,0,73,"X","South","died"
"2","f",18,0,1,23,"X","South","surv"
"2","f",34,0,1,23,"X","South","surv"
"2","m",54,0,0,26,"X","South","died"
"2","m",8,0,2,32,"X","South","surv"
"2","m",42,1,1,32,"X","South","died"
"2","f",34,1,1,32,"X","South","surv"
"2","f",27,1,0,13,"X","Cherb","surv"
"2","f",30,1,0,13,"X","Cherb","surv"
"2","m",23,0,0,13,"X","South","died"
"2","m",21,0,0,13,"X","South","died"
"2","m",18,0,0,13,"X","South","died"
"2","m",40,1,0,26,"X","South","died"
"2","f",29,1,0,26,"X","South","surv"
"2","m",18,0,0,10,"X","South","died"
"2","m",36,0,0,13,"X","South","died"
"2","m",43,0,0,0,"X","South","died"
"2","f",38,0,0,13,"X","South","died"
"2","m",35,0,0,26,"X","South","died"
"2","m",38,1,0,21,"X","South","died"
"2","m",34,1,0,21,"X","South","died"
"2","f",34,0,0,13,"X","South","surv"
"2","m",16,0,0,26,"X","South","died"
"2","m",26,0,0,10,"X","South","died"
"2","m",47,0,0,10,"X","South","died"
"2","m",21,1,0,11,"X","South","died"
"2","m",21,1,0,11,"X","South","died"
"2","m",24,0,0,13,"X","South","died"
"2","m",24,0,0,13,"X","South","died"
"2","m",34,0,0,13,"X","South","died"
"2","m",30,0,0,13,"X","South","died"
"2","m",52,0,0,13,"X","South","died"
"2","m",30,0,0,13,"X","South","died"
"2","m",0,1,1,14,"X","South","surv"
"2","f",24,0,2,14,"X","South","surv"
"2","m",44,0,0,13,"X","South","died"
"2","f",6,0,1,33,"X","South","surv"
"2","m",28,0,1,33,"X","South","died"
"2","m",62,0,0,10,"X","South","surv"
"2","m",30,0,0,10,"X","South","died"
"2","f",7,0,2,26,"X","South","surv"
"2","m",43,1,1,26,"X","South","died"
"2","f",45,1,1,26,"X","South","surv"
"2","f",24,1,2,65,"X","South","surv"
"2","f",24,1,2,65,"X","South","surv"
"2","m",49,1,2,65,"X","South","died"
"2","f",48,1,2,65,"X","South","surv"
"2","f",55,0,0,16,"X","South","surv"
"2","m",24,2,0,73,"X","South","died"
"2","m",32,2,0,73,"X","South","died"
"2","m",21,2,0,73,"X","South","died"
"2","f",18,1,1,13,"X","South","died"
"2","f",20,2,1,23,"X","South","surv"
"2","m",23,2,1,11,"X","South","died"
"2","m",36,0,0,13,"X","South","died"
"2","f",54,1,3,23,"X","South","surv"
"2","m",50,0,0,13,"X","South","died"
"2","m",44,1,0,26,"X","South","died"
"2","f",29,1,0,26,"X","South","surv"
"2","m",21,0,0,73,"X","South","died"
"2","m",42,0,0,13,"X","South","surv"
"2","m",63,1,0,26,"X","South","died"
"2","f",60,1,0,26,"X","South","died"
"2","m",33,0,0,12,"X","South","died"
"2","f",17,0,0,10,"X","South","surv"
"2","m",42,1,0,27,"X","South","died"
"2","f",24,2,1,27,"X","South","surv"
"2","m",47,0,0,15,"X","South","died"
"2","m",24,2,0,31,"X","South","died"
"2","m",22,2,0,31,"X","South","died"
"2","m",32,0,0,10,"X","South","died"
"2","f",23,0,0,13,"D","Cherb","surv"
"2","m",34,1,0,26,"X","South","died"
"2","f",24,1,0,26,"X","South","surv"
"2","f",22,0,0,21,"X","South","died"
"2","f",57,0,0,12,"E","Queens","surv"
"2","m",35,0,0,12,"X","Queens","died"
"2","f",45,0,0,13,"X","South","surv"
"2","m",57,0,0,12,"X","Queens","died"
"2","m",43,0,0,0,"X","South","died"
"2","m",31,0,0,10,"X","South","died"
"2","f",26,1,1,26,"X","South","died"
"2","m",30,1,1,26,"X","South","died"
"2","m",29,0,0,10,"X","Queens","died"
"2","f",1,1,2,41,"X","Cherb","surv"
"2","f",3,1,2,41,"X","Cherb","surv"
"2","m",25,1,2,41,"X","Cherb","died"
"2","f",22,1,2,41,"X","Cherb","surv"
"2","f",17,0,0,12,"X","Cherb","surv"
"2","f",13,0,0,33,"X","South","surv"
"2","f",34,0,0,10,"F","South","surv"
"2","m",36,0,0,12,"D","Cherb","died"
"2","m",24,0,0,10,"X","South","died"
"2","m",61,0,0,12,"X","Queens","died"
"2","m",50,1,0,26,"X","South","died"
"2","f",42,1,0,26,"X","South","surv"
"2","f",57,0,0,10,"E","South","died"
"2","m",43,0,0,15,"D","Cherb","died"
"2","m",1,0,2,37,"X","Cherb","surv"
"2","m",31,1,1,37,"X","Cherb","died"
"2","f",24,1,1,37,"X","Cherb","surv"
"2","m",40,0,0,15,"X","Cherb","died"
"2","m",30,0,0,13,"X","South","died"
"2","m",40,0,0,16,"X","South","died"
"2","m",32,0,0,13,"X","South","died"
"2","m",30,0,0,13,"X","South","died"
"2","m",46,0,0,26,"X","South","died"
"2","f",13,0,1,19,"X","South","surv"
"2","f",41,0,1,19,"X","South","surv"
"2","m",19,0,0,10,"X","South","surv"
"2","m",39,0,0,13,"X","South","died"
"2","m",48,0,0,13,"X","South","died"
"2","m",70,0,0,10,"X","South","died"
"2","m",27,0,0,13,"X","South","died"
"2","m",54,0,0,14,"X","South","died"
"2","m",39,0,0,26,"X","South","died"
"2","m",16,0,0,10,"X","South","died"
"2","m",62,0,0,9,"X","Queens","died"
"2","m",32,1,0,30,"X","Cherb","died"
"2","f",14,1,0,30,"X","Cherb","surv"
"2","m",2,1,1,26,"F","South","surv"
"2","m",3,1,1,26,"F","South","surv"
"2","m",36,0,2,26,"F","South","died"
"2","m",26,0,0,13,"F","South","died"
"2","m",19,1,1,36,"X","South","died"
"2","m",28,0,0,13,"X","South","died"
"2","m",20,0,0,13,"D","Cherb","surv"
"2","f",29,0,0,10,"F","South","surv"
"2","m",39,0,0,13,"X","South","died"
"2","m",22,0,0,10,"X","South","surv"
"2","m",21,0,0,13,"X","Cherb","surv"
"2","m",23,0,0,10,"X","South","died"
"2","m",29,0,0,13,"X","Cherb","surv"
"2","m",28,0,0,10,"X","South","died"
"2","m",28,0,0,0,"X","South","died"
"2","f",50,0,1,26,"X","South","surv"
"2","m",19,0,0,10,"X","South","died"
"2","m",70,0,0,15,"X","Cherb","died"
"2","m",41,0,0,13,"X","South","died"
"2","f",21,0,1,21,"X","South","surv"
"2","f",19,0,0,26,"X","South","surv"
"2","m",43,0,1,21,"X","South","died"
"2","f",32,0,0,13,"X","South","surv"
"2","m",34,0,0,13,"X","South","died"
"2","m",30,0,0,12,"X","Cherb","surv"
"2","m",27,0,0,15,"X","Cherb","died"
"2","f",2,1,1,26,"X","South","surv"
"2","f",8,1,1,26,"X","South","surv"
"2","f",33,0,2,26,"X","South","surv"
"2","m",36,0,0,10,"X","South","died"
"2","m",34,1,0,21,"X","South","died"
"2","f",30,3,0,21,"X","South","surv"
"2","f",28,0,0,13,"X","South","surv"
"2","m",23,0,0,15,"X","Cherb","died"
"2","m",0,1,1,18,"X","South","surv"
"2","m",3,1,1,18,"X","South","surv"
"2","f",24,2,3,18,"X","South","surv"
"2","f",50,0,0,10,"X","South","surv"
"2","m",19,0,0,10,"X","South","died"
"2","f",21,0,0,10,"X","South","surv"
"2","m",26,0,0,13,"X","South","died"
"2","m",25,0,0,13,"X","South","died"
"2","m",27,0,0,26,"X","South","died"
"2","f",25,0,1,26,"X","South","surv"
"2","f",18,0,2,13,"X","South","surv"
"2","f",20,0,0,36,"X","South","surv"
"2","f",30,0,0,13,"X","South","surv"
"2","m",59,0,0,13,"X","South","died"
"2","f",30,0,0,12,"X","Queens","surv"
"2","m",35,0,0,10,"X","South","died"
"2","f",40,0,0,13,"X","South","surv"
"2","m",25,0,0,13,"X","South","died"
"2","m",41,0,0,15,"X","Cherb","died"
"2","m",25,0,0,10,"X","South","died"
"2","m",18,0,0,13,"F","South","died"
"2","m",14,0,0,65,"X","South","died"
"2","f",50,0,0,10,"X","South","surv"
"2","m",23,0,0,13,"X","South","died"
"2","f",28,0,0,12,"X","South","surv"
"2","f",27,0,0,10,"E","South","surv"
"2","m",29,1,0,21,"X","South","died"
"2","f",27,1,0,21,"X","South","died"
"2","m",40,0,0,13,"X","South","died"
"2","f",31,0,0,21,"X","South","surv"
"2","m",30,1,0,21,"X","South","died"
"2","m",23,1,0,10,"X","South","died"
"2","f",31,0,0,21,"X","South","surv"
"2","m",28,0,0,0,"X","South","died"
"2","f",12,0,0,15,"X","South","surv"
"2","f",40,0,0,15,"X","South","surv"
"2","f",32,0,0,13,"E","South","surv"
"2","m",27,1,0,26,"X","South","died"
"2","f",29,1,0,26,"X","South","surv"
"2","m",2,1,1,23,"X","South","surv"
"2","f",4,1,1,23,"X","South","surv"
"2","f",29,0,2,23,"X","South","surv"
"2","f",0,1,2,27,"X","South","surv"
"2","f",5,1,2,27,"X","South","surv"
"2","m",36,1,2,27,"X","South","died"
"2","f",33,1,2,27,"X","South","surv"
"2","m",66,0,0,10,"X","South","died"
"2","m",28,0,0,12,"X","South","died"
"2","m",31,0,0,13,"X","South","surv"
"2","m",28,0,0,13,"X","South","surv"
"2","f",26,0,0,13,"X","South","surv"
"2","f",24,0,0,13,"X","South","died"
"3","m",42,0,0,7,"X","South","died"
"3","m",13,0,2,20,"X","South","died"
"3","m",16,1,1,20,"X","South","died"
"3","f",35,1,1,20,"X","South","surv"
"3","f",16,0,0,7,"X","South","surv"
"3","m",25,0,0,7,"F","South","surv"
"3","m",20,0,0,7,"X","South","surv"
"3","f",18,0,0,7,"X","Cherb","surv"
"3","m",30,0,0,7,"X","South","died"
"3","m",26,0,0,8,"X","South","died"
"3","f",40,1,0,9,"X","South","died"
"3","m",0,0,1,9,"X","South","surv"
"3","f",18,0,1,9,"X","South","surv"
"3","m",26,0,0,18,"X","Cherb","surv"
"3","m",26,0,0,7,"X","South","died"
"3","m",20,0,0,7,"X","South","died"
"3","m",24,0,0,7,"X","South","died"
"3","m",25,0,0,7,"X","South","died"
"3","m",35,0,0,8,"X","South","died"
"3","m",18,0,0,8,"X","South","died"
"3","m",32,0,0,22,"X","South","died"
"3","f",19,1,0,7,"X","South","surv"
